"","Package","LibPath","Version","Priority","Built"
"195","rstudioapi","C:/Program Files/R/R-3.5.1/library","0.8",NA,"3.5.2"
"196","Rttf2pt1","C:/Program Files/R/R-3.5.1/library","1.3.7",NA,"3.5.0"
"197","rvest","C:/Program Files/R/R-3.5.1/library","0.3.2",NA,"3.5.1"
"198","scales","C:/Program Files/R/R-3.5.1/library","1.0.0",NA,"3.5.1"
"199","scatterplot3d","C:/Program Files/R/R-3.5.1/library","0.3-41",NA,"3.5.0"
"200","selectr","C:/Program Files/R/R-3.5.1/library","0.4-1",NA,"3.5.1"
"201","sessioninfo","C:/Program Files/R/R-3.5.1/library","1.1.1",NA,"3.5.2"
"202","shape","C:/Program Files/R/R-3.5.1/library","1.4.4",NA,"3.5.0"
"203","shiny","C:/Program Files/R/R-3.5.1/library","1.2.0",NA,"3.5.2"
"204","shinydashboard","C:/Program Files/R/R-3.5.1/library","0.7.1",NA,"3.5.2"
"205","shinyjs","C:/Program Files/R/R-3.5.1/library","1.0",NA,"3.5.1"
"206","skimr","C:/Program Files/R/R-3.5.1/library","1.0.3",NA,"3.5.1"
"207","sourcetools","C:/Program Files/R/R-3.5.1/library","0.1.7",NA,"3.5.1"
"208","sp","C:/Program Files/R/R-3.5.1/library","1.3-1",NA,"3.5.1"
"209","SparseM","C:/Program Files/R/R-3.5.1/library","1.77",NA,"3.5.0"
"210","spatial","C:/Program Files/R/R-3.5.1/library","7.3-11","recommended","3.5.1"
"211","splines","C:/Program Files/R/R-3.5.1/library","3.5.1","base","3.5.1"
"212","stats","C:/Program Files/R/R-3.5.1/library","3.5.1","base","3.5.1"
"213","stats4","C:/Program Files/R/R-3.5.1/library","3.5.1","base","3.5.1"
"214","stringdist","C:/Program Files/R/R-3.5.1/library","0.9.5.1",NA,"3.5.2"
"215","stringi","C:/Program Files/R/R-3.5.1/library","1.2.4",NA,"3.5.2"
"216","stringr","C:/Program Files/R/R-3.5.1/library","1.3.1",NA,"3.5.1"
"217","survival","C:/Program Files/R/R-3.5.1/library","2.43-3","recommended","3.5.2"
"218","sweep","C:/Program Files/R/R-3.5.1/library","0.2.1.1",NA,"3.5.1"
"219","tcltk","C:/Program Files/R/R-3.5.1/library","3.5.1","base","3.5.1"
"220","tesseract","C:/Program Files/R/R-3.5.1/library","4.0",NA,"3.5.1"
"221","testthat","C:/Program Files/R/R-3.5.1/library","2.0.1",NA,"3.5.2"
"222","tibble","C:/Program Files/R/R-3.5.1/library","1.4.2",NA,"3.5.2"
"223","tibbletime","C:/Program Files/R/R-3.5.1/library","0.1.1",NA,"3.5.1"
"224","tidyquant","C:/Program Files/R/R-3.5.1/library","0.5.5",NA,"3.5.1"
"225","tidyr","C:/Program Files/R/R-3.5.1/library","0.8.1",NA,"3.5.1"
"226","tidyselect","C:/Program Files/R/R-3.5.1/library","0.2.5",NA,"3.5.2"
"227","tidyverse","C:/Program Files/R/R-3.5.1/library","1.2.1",NA,"3.5.2"
"228","timeDate","C:/Program Files/R/R-3.5.1/library","3043.102",NA,"3.5.1"
"229","timetk","C:/Program Files/R/R-3.5.1/library","0.1.1.1",NA,"3.5.1"
"230","tinytex","C:/Program Files/R/R-3.5.1/library","0.9",NA,"3.5.2"
"231","tools","C:/Program Files/R/R-3.5.1/library","3.5.1","base","3.5.1"
"232","translations","C:/Program Files/R/R-3.5.1/library","3.5.1",NA,"3.5.1"
"233","trimcluster","C:/Program Files/R/R-3.5.1/library","0.1-2.1",NA,"3.5.1"
"234","tseries","C:/Program Files/R/R-3.5.1/library","0.10-46",NA,"3.5.2"
"235","TTR","C:/Program Files/R/R-3.5.1/library","0.23-4",NA,"3.5.2"
"236","urca","C:/Program Files/R/R-3.5.1/library","1.3-0",NA,"3.5.1"
"237","uroot","C:/Program Files/R/R-3.5.1/library","2.0-9",NA,"3.5.0"
"238","usethis","C:/Program Files/R/R-3.5.1/library","1.4.0",NA,"3.5.2"
"239","utf8","C:/Program Files/R/R-3.5.1/library","1.1.4",NA,"3.5.1"
"240","utils","C:/Program Files/R/R-3.5.1/library","3.5.1","base","3.5.1"
"241","viridis","C:/Program Files/R/R-3.5.1/library","0.5.1",NA,"3.5.1"
"242","viridisLite","C:/Program Files/R/R-3.5.1/library","0.3.0",NA,"3.5.1"
"243","whisker","C:/Program Files/R/R-3.5.1/library","0.3-2",NA,"3.5.1"
"244","withr","C:/Program Files/R/R-3.5.1/library","2.1.2",NA,"3.5.1"
"245","xfun","C:/Program Files/R/R-3.5.1/library","0.4",NA,"3.5.2"
"246","xml2","C:/Program Files/R/R-3.5.1/library","1.2.0",NA,"3.5.1"
"247","xopen","C:/Program Files/R/R-3.5.1/library","1.0.0",NA,"3.5.2"
"248","xtable","C:/Program Files/R/R-3.5.1/library","1.8-3",NA,"3.5.1"
"249","xts","C:/Program Files/R/R-3.5.1/library","0.11-2",NA,"3.5.2"
"250","yaml","C:/Program Files/R/R-3.5.1/library","2.2.0",NA,"3.5.1"
"251","zip","C:/Program Files/R/R-3.5.1/library","1.0.0",NA,"3.5.1"
"252","zipcode","C:/Program Files/R/R-3.5.1/library","1.0",NA,"3.5.0"
"253","ZipRadius","C:/Program Files/R/R-3.5.1/library","1.0.1",NA,"3.5.1"
"254","zoo","C:/Program Files/R/R-3.5.1/library","1.8-4",NA,"3.5.2"
